Name,Review Text,Date Posted
Sumiyati S.,mantulll ,2 minggu lalu
*********061,bagus... ,30 Des 2023
Deliyanti,okeeeeee ,21 Okt 2023
Uminya A.,wow keren,02 Des 2023
niaaaa,realğŸ‘ğŸ¥° ,10 Nov 2023
I***.,,2 minggu lalu
Third-Party-User,"bagus bangett woyyy wajib beli sih ini, dengan harga yang  semurah itu menurutku kaya bahan cringcle enakk bangett dipake mau nangis bagus soalnya  ",04 Okt 2023
t***i,cakep banget pas di bb aku 61 nyesel beli 1ğŸ˜¢ ,07 Jan 2024
Rabbani M.,lumayan ,08 Des 2023
Azmys,kereng. ,30 Des 2023
S***.,"bagus,, ",07 Des 2023
Rimbayani,lumayan ,31 Okt 2023
Warno 0.,pik bnt ,13 Jan 2024
Jihan F.,"Pas sempurna dengan desain high waist., Celana kargo yang trendi dan fungsional., Bagus untuk aktivitas di luar ruangan., Celana kargo yang stylish dan modis., Celana kargo serbaguna untuk berbagai acara.,  ",24 Des 2023
Fitri H.,"mantulll, nexs order lg ",17 Des 2023
rahmachaniago,"sesuai pesanan, celana cargo bagus, bahannya adem, jahitan rapi, kurir nya baik dan ramah makasihh lazada  ",17 Des 2023
Rani A.,"jelek g sesuai dgn gambar mna sobek lgi Deket saku nya, jahitan nya juga g rapih Poko nya ğŸ‘ ",17 Des 2023
Livia,"Bahan yang tahan lama untuk penggunaan jangka panjang., Celana kargo yang stylish dan modis., Bagus untuk aktivitas di luar ruangan., Kain nyaman dan bernapas.,  ",17 Des 2023
neneng S.,sesuai harga...... ,17 Des 2023
Arief S.,"Pas sempurna dengan desain high waist., Bagus untuk aktivitas di luar ruangan., Beragam pilihan warna yang dapat dipilih., Celana kargo yang stylish dan modis.,  ",17 Des 2023
Arief S.,"Kain nyaman dan bernapas., Pas sempurna dengan desain high waist., Bahan yang tahan lama untuk penggunaan jangka panjang.,  ",17 Des 2023
suci A.,"Pas sempurna dengan desain high waist., Desain highwaist sedang trendi., Celana kargo yang trendi dan fungsional., Celana kargo yang stylish dan modis.,  ",13 Des 2023
Ayyuk A.,"Pas sempurna dengan desain high waist., Bagus untuk aktivitas di luar ruangan., Bagus untuk aktivitas di luar ruangan., Bahan yang tahan lama untuk penggunaan jangka panjang., Mudah dipadukan dengan berbagai outfit.,  ",3 minggu lalu
Third-Party-User,tidak sesuai ekspektasi ,17 Okt 2023
sant I.,pas..sesuai gambar dan pesanan..trimkasih seller..lazada dan kurir..sukses buat semua.. ,18 Nov 2023
Alifah,"Bahan:bagus
 Ukuran:sesuai
 Rancangan:rapih
 ",17 Okt 2023
Sae E.,kegedean bangettttttttttttttttt ,14 Nov 2023
Nia R.,"Celana kargo yang trendi dan fungsional.,  ",12 Des 2023
L***.,cantik banget ,20 Okt 2023
0***9,"Rancangan:
tidak sesuai pesanan ",19 Okt 2023
nanik S.,celana ukuran remaja jd kl dewasa kurang gedhe  ,4 minggu lalu
nineng N.,"Bahan:jelek
 Ukuran:kkecillan
 Rancangan:jelek semua ",13 Des 2023
8***6,"Bahan yang tahan lama untuk penggunaan jangka panjang.,  ",21 Nov 2023
0***1,bagus mantafğŸ‘ğŸ‘ ,17 Okt 2023
0***4,"bagus 
 Ukuran:pas ",20 Okt 2023
w***.,bagus sesuai harga..anak ku suka terimaksh salam sukses selalu ,13 Nov 2023
Rosita,"Kain nyaman dan bernapas., Celana kargo yang stylish dan modis., Mudah dipadukan dengan berbagai outfit.,  ",13 Des 2023
8***9,"Mudah dipadukan dengan berbagai outfit.,  ",3 minggu lalu
Armi A.,aku dengan model celananya .kainnya halu dan ringan.cocok di pakai untuk santai ,19 Nov 2023
Ahmad A.,bahanny gajelasss ga sesuaii espektasi sy. ,13 Des 2023
Ariqah O.,"bahan y bagus kok cuman pas dtng plastik nya udh sobek
 ",18 Okt 2023
Maryati,"Kain nyaman dan bernapas., Mudah dipadukan dengan berbagai outfit., Pas sempurna dengan desain high waist., Desain highwaist sedang trendi., Bagus untuk aktivitas di luar ruangan., Celana kargo yang stylish dan modis.,  ",13 Des 2023
Aprilia K.,"Bahan:tipis, nerawang  ",20 Okt 2023
8***3,bagus nyaman di pakai  ,14 Nov 2023
Shella H.,Bagus mantep ,18 Nov 2023
0***5,cukup memuaskan dgn harga segitu. ,4 minggu lalu
Farahdhilah T.,"Bahan: bgsss
 Ukuran: sesuaiiii
 Rancangan: rapihhh   
 ",13 Des 2023
Tya A.,the best poknmah cck bgtt HhhağŸ˜ğŸ‘ğŸ‘ ,4 minggu lalu
noorarofikha,bagusss bgt murah tidak murahan tp di aku agak sempit dikitğŸ˜ tapi masih bagus kok jgn ragu beli di toko ini ,13 Nov 2023
*********742,"kerenn banget udah order yang ke 2 kalinyaaa, thanks y,next orderr lagii  ",15 Des 2023
kika,bagusssss ,16 Okt 2023
Ayu A.,"pengiriman cepat, barang sesuiğŸ¤—ğŸ˜ ",13 Des 2023
*********732,bagus banget. terimakasih yağŸ¥°ğŸ™ ,17 Nov 2023
Agnes U.,"Bahan:bagus  
 Ukuran:pas
 Rancangan:pikirnya ad resleting nya kak eh mala ngak ad tapi ngka apa"" bagus
 ",17 Okt 2023
mumun A.,celana nya ok ,10 Des 2023
Siti N.,cuteğŸ˜— ,2 minggu lalu
herna W.,gede bngt di aku ğŸ™ˆ ,03 Des 2023
Karniti D.,top Marko top bag us sekalih makanya says pesen magi Kurir jugabaik Dan so pan selalu but langanan sayaterima kasih buattokonya dankurirnya ,26 Nov 2023
Elan88964,"Kain nyaman dan bernapas., Bahan yang tahan lama untuk penggunaan jangka panjang., Mudah dipadukan dengan berbagai outfit.,  ",26 Nov 2023
8***3,sesuai jarga ,12 Nov 2023
Citra M.,bagus ,06 Jan 2024
Umi S.,keren ,26 Des 2023
ameliawp23,baik  ,29 Des 2023
sarim,ok lh ,04 Des 2023
citra J.,"Bahan:bagus
 Ukuran:kegedean
 Rancangan:bagus si walau pinggang nya kegedean ",03 Okt 2023
*********629,"bahan nya bagus
 ",29 Okt 2023
jocko212,lumayan ,16 Nov 2023
YURARA S.,"Bahan:crincle
 Ukuran:standar
biar bintang yang rekomendasikan ğŸ˜ğŸ˜ ",15 Okt 2023
Mas T.,Dikiri bukan kolor ternyata kolor bagis sih cuman baru sekali pake langsung bolongğŸ˜’ ,15 Okt 2023
*********384,bagus,15 Jan 2024
Deliyanti,okee ,21 Okt 2023
Imas N.,lmyn ,21 Okt 2023
guest,baik ,02 Jan 2024
sherinaauliyanie,bgus ,16 Des 2023
Yunani,"terakota bhan nya bgus dan tebal walaupun ukuran nya kebesaran di aku,  dan krna bgus aku juga bli yg hitam, klu yg hitam bhn nya tipis dan nerawang tapi bgus pas ukuran nya di aku, klu pake yg hitam aku jdi pake lejing daleman nya, dan kurirnya baik juga ramah, trima ksih buat tokoh nya dan mas kurir nya, krna pengiriman nya cpt bnget jdi aku ngerasa puas pokonya mantulğŸ‘ğŸ‘ğŸ‘ğŸ‘ ",08 Okt 2023
Jijah,"bagus
 ",03 Des 2023
8***7,Ukuran:kebesaran ,01 Okt 2023
Warno 0.,warna dan bhn sesuai  cmn ukuran.y gk sesuai aku psn standar yg dtg jumbo ,08 Jan 2024
8***7,"Bahan:bagus 
 Ukuran:pas
 Rancangan:pakai 
 ",06 Jan 2024
*********108,"Rancangan:
sesuai harga ",02 Jan 2024
Sitijuliah S.,"Alhamdulillah bagus banget sama dengan yang di poto...
jangngan ragu beli di toko ini bagus banget cuss di cek out
makasih ke lazada sama Kuriri nya juga ramah banget kalo sama yang langganan mah kalo bukan nya enggak  ",10 Okt 2023
Dewi A.,"Beragam pilihan warna yang dapat dipilih., Celana kargo yang stylish dan modis., Celana kargo serbaguna untuk berbagai acara., Mudah dipadukan dengan berbagai outfit., Bagus untuk aktivitas di luar ruangan., trimakaseh Lazada.. ",18 Jan 2024
Reva A.,ga sesuai ekspektasi saya  ,21 Des 2023
b***r,"pesen xxl datengnya s. 
 ",02 Des 2023
Warno 0.,warna y sesuai cmn ukuran.y gk sesuai aku psn standar dtg  jumbo ,08 Jan 2024
S***.,"celananya bagus, sesuai dengan harga, toko amanah, terimakasih, semoga makin larisBeragam pilihan warna yang dapat dipilih.,  ",2 minggu lalu
Puput I.,emmmm lumayannn okeeeeeeee lahhhhğŸ˜‰ğŸ˜‰ğŸ˜‰ğŸ˜‰ğŸ˜‰ğŸ˜‰ğŸ˜‰ ,2 minggu lalu
SINDI S.,"Bahan:
Alhamdulillah barang nya sesuai gambar thank lazada  ",14 Okt 2023
Hanani D.,tipis ga sesuai  ,11 Okt 2023
A***a,"Bahan:tidak sesuai
 Ukuran:tidak sesuai
 Rancangan:tidak sesuai

sangat
sangat
sangat mengecewakan ",28 Nov 2023
Wiwin W.,"celana nya bagus sih tapi sayang di aku kegedean, tapi gpp masih bisa di pake orang  ",28 Des 2023
Priska A.,"Celana kargo serbaguna untuk berbagai acara.,  ",17 Jan 2024
Ana R.,"Kain nyaman dan bernapas.,  ",11 Jan 2024
Aples,"celananya ke gdean
 ",02 Jan 2024
8***9,"Mudah dipadukan dengan berbagai outfit., Desain highwaist sedang trendi., Beragam pilihan warna yang dapat dipilih., Pas sempurna dengan desain high waist., Beragam pilihan warna yang dapat dipilih.,  ",09 Des 2023
Linda,celana nya bgus cuma agak tipis ğŸ˜ ,14 Des 2023
A***i,"keren Poko nmh,,,
walaupun seler nya slow respon  ",17 Jan 2024
Dewi A.,"Celana kargo yang stylish dan modis., Mudah dipadukan dengan berbagai outfit., Celana kargo yang trendi dan fungsional., Celana kargo serbaguna untuk berbagai acara., Bagus untuk aktivitas di luar ruangan.,  ",18 Jan 2024
EkaaChalondra,Bahan nya bagus tapi ukurannya ga sesuai ,13 Okt 2023
0***8,ga sesuai di gambar tp ydh lh ga apa apa terimakasih ya selerâ˜º ,08 Jan 2024
E***.,"suka, cuman jahitan kurang rapih ",30 Des 2023
Y***a,"demi apapun ini bagus bgtt sya smpe beli lagi untuk yg kedua kalinya next bkll beli lgi yg wrna lain
 Bahan:mayan gak nrawang
 Ukuran:pass bgtt ccok
 Rancangan:bgss gda yg ccatt ",1 minggu lalu
*********551,Bagus lembut bahanny ,11 Okt 2023
Minihh,Bagus Sesuai harapanğŸ¤— ,1 minggu lalu
guest,cantik ,16 Nov 2023
okih S.,you ,26 Des 2023
Warno 0.,pik ,15 Jan 2024
Warno 0.,pik ,15 Jan 2024
Mila Y.,"goood 
 ",24 Sep 2023
Azmys,ok ,30 Des 2023
ujang A.,ok ,18 Des 2023
novitaharyani69,"gmn ya, bgs iya cuma jahitan ny ga kokoh sobek trs..suda sy jahit atas nya lgi sobek pdhl d cba pke duduk doang, sedikit kecewa. ",10 Des 2023
*********551,Bagus  ,11 Okt 2023
Yonanda S.,"Bahan: sangat tipis

 Ukuran:pas
 Rancangan:sangat bagus ",10 Okt 2023
**********288,"Bahan:tipis tapi Adem dipake 
 Ukuran:standar size 
 Rancangan:gak ngecewakan costumer aku suka sama celana 
 ",10 Okt 2023
Emiliana J.,"ga sesuai, celananya jelek banget ",10 Okt 2023
najwa18cell,ok ,13 Des 2023
V***.,"Bahan:cukup tipis
 Ukuran:pas
 Rancangan:sangat bagus
semuanya bagus, cm bahannya agak tipis jd takut robek pas d pknya. ",08 Okt 2023
Rima,"Bahan:bagis
 Ukuran:pas
 Rancangan:jaitan rapih ",05 Okt 2023
****1,sya kira dpn nya kancingan + ressleting jg sprti di gmbar trnyta ngk tpi gpp lh  ,24 Sep 2023
A***.,good  ,10 Des 2023
Nining Y.,"Bahan:adem
 Ukuran:pas
 Rancangan:ok ",02 Okt 2023
*********172,knpa kulot ya dkirim ka??? ,03 Okt 2023
callystaaaa,,14 Des 2023
Muhammad A.,,07 Des 2023
R***.,"Bahan:gak tebal dan gak tipis
 Ukuran:kegedean soalnya ngga bisa pilih ukuran
 Rancangan:jahitan nya kurang rapih ",20 Nov 2023
najwa18cell,,13 Des 2023
Nani S.,,4 minggu lalu
8***0,pesan warna cream yg di kirim warna lain!!!!!!!!!!!!!!!!! ,23 Des 2023
Diyanah P.,"alhamdulillah sesuai,tadiny udah aku batalin takut gk sesuai tapi di tolak,, ",10 Nov 2023
YAQUB M.,"Bahan:tipis
 Ukuran:terlalu besar
 Rancangan:amburadul
 ",14 Okt 2023
R***.,"kecewa berat sih,, pesen cargo datengnya kulot,,kecewa parah inimah ",4 minggu lalu
Lisna S.,lumayan harga segitu ,09 Nov 2023
Linda S.,bagus bahan dan warnany pas dcobain muat perutny tp ga muat dpahany..alamat kudu dpermak lg dtkng jahit ini mah..,14 Des 2023
amalia N.,"bagus tapi gampang sobek
 Bahan:agak tipis ",29 Des 2023
d***.,"Desain highwaist sedang trendi., Celana kargo yang stylish dan modis., Celana kargo yang trendi dan fungsional., Pas sempurna dengan desain high waist.,  ",07 Des 2023
8***4,"bgus 
TPI kain nya Merawang  ",22 Des 2023
A***.,"parah bgtt dikirim nya beda dri foto.
mana gedee bgtğŸ˜­ğŸ˜­ ",27 Okt 2023
0***6,"Bahanya tipis kainnya jatuh, sedikit panjang, Rancangannya bagus, cuman jahitanya sedikit kurang rapi,, tapi Lumayanlah dg harga sangat murah ",19 Des 2023
Octa A.,"Bahan:mym
 Ukuran:kbsrn
 Rancangan:b sja ",19 Des 2023
Oci,"Bahan:lumayan lah dengan harga yang segitu
 Ukuran:celana nya kegedean di aku

 ",24 Okt 2023
N***.,kebesaran ukuran tidak sesuai saya kecewa tidak real pic ,08 Des 2023
Priska A.,"Bagus untuk aktivitas di luar ruangan.,  ",17 Jan 2024
Gina D.,"Celana kargo serbaguna untuk berbagai acara., Pas sempurna dengan desain high waist.,  ",2 minggu lalu
0***5,"katany kancing hidup,, ",29 Des 2023
e***n,"ukurannya standar tapi di aku tetep kebesaran,kainnya juga ga sesuai ekspetasi aku dikiranya tebel ternyata tipis banget.mau kecewa tapi untuk harga segitu mau minta gimana ",24 Des 2023
R***.,"Tidak sesuai ekspektasi. Tapi gapapa, masih nyaman di pakai... ",03 Des 2023
8***2,"penipuan,,pngn barang CPT abis kirim nya asal,,,punya mata ga,,,kalian dengan gampang nya bilang retur ,,emang ga ribet klo retur,,,,pantes lama ngirim nya nyari barang yg warna nya sama ya,tp model ga sesuai,,,kecewa,,gq berkah usaha nya,,kluarin aja pihak lazada toko yg mentingin diri sendiri kaya gini,,ngapokin pelanggan...apapun niat ga baik,,ga bakal berkah...",18 Okt 2023
Nahaar R.,saya pesan 4 yg datang hanya 3 ,14 Des 2023
guest,bahan tipis barang tidak sesuai dengan di foto sangat kecewa tidak sesuai dengan harga segitu  ,04 Nov 2023
Nhur S.,tidak sesuai gambar  ,12 Okt 2023
g***t,"Celana kargo yang stylish dan modis., Mudah dipadukan dengan berbagai outfit.,  ",03 Jan 2024
Ajisyaputra,"Celana kargo yang stylish dan modis., Celana kargo yang trendi dan fungsional., Bahan yang tahan lama untuk penggunaan jangka panjang., Kain nyaman dan bernapas., Bagus untuk aktivitas di luar ruangan.,  ",05 Jan 2024
Jenny J.,kurng bagus untuk bagian slengkangan nya ketat bwh nya gombrong  ,06 Des 2023
A***.,celana yang diterima ngga sesuai sama gambar dan deskripsi ,22 Des 2023
Ariadi,mabasbshehebebenrnrnrnr ,21 Des 2023
*********928,ğŸ™ƒ kebesaran di aq,02 Jan 2024
Abiya,"Bahan:bahan nya tidak sesuai
 Ukuran:pas 
 Rancangan:mayan aja  ",04 Jan 2024
toni R.,"Rancangan:

warna brown nya terlalu cerah/pudar  ",25 Okt 2023
Ardellia A.,warna dan bahan tidk sesuai ,4 hari lalu
Lita L.,kecewa ,02 Des 2023
Chellsy L.,"apaaan katanya cargo, gw beli kulot biasa dislike! ",26 Sep 2023
g***t,"pesen waran putuh ko yang datang coklat gimna sihğŸ˜Œ
 Bahan:adem sih tipis lagih 
 Ukuran:muat 
 Rancangan:tipiss tapi g ppa lah harga nya juga pas sesuai mungkinğŸ™„ ",09 Okt 2023
088289366100 7.,"makasih,kira bahan katun ,eh malah ngaret ... gak sesuai d gambar kaya nya... ",2 hari lalu
Melani M.,cln nya sudah keterima kain nya enaken adem  ,17 Jan 2024
*********541,"payah gak ada sletingnya , padahal mau jadi langganan . dichatt jg gadirespon sama sekali .  ",13 Jan 2024
Mia,bener2 bedaa bgt sama gambar. di gambar celana cargo tp yg dtg celana kulot polos biasa. hadeh ,30 Des 2023
Angelia O.,bahannya tipis g sesuai ,1 hari lalu
"Mmh,salwa",mff baru komen kmrn waktu ngatrin paket kurir y jutek bgtt ,29 Nov 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
Intan M.,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
S***.,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
Iis I.,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
Titian,ok ,01 Okt 2023
